거주자 성별 연령,년월,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
여 80s,201905,"150,913","66,263","45,615","46,760","23,745","24,230","13,931","4,310","199,270","42,212","40,319","61,472","57,447","70,711","84,300","79,704","14,832"
남 20s,201906,"712,566","230,388","176,132","212,410","108,263","112,383","84,161","17,751","921,197","100,770","110,725","134,824","115,390","111,356","165,606","214,841","43,101"
남 30s,201906,"756,397","225,181","159,463","218,335","98,838","104,508","85,427","29,149","985,345","89,370","105,867","150,886","103,662","103,900","164,910","223,579","43,583"
남 40s,201906,"764,513","257,896","194,033","246,682","120,876","120,842","96,136","31,673","1,146,494","117,831","125,920","174,072","142,524","142,719","204,237","278,982","58,372"
남 50s,201906,"736,409","280,086","208,224","254,544","114,030","119,836","107,332","20,867","1,089,606","137,253","139,186","177,102","155,561","168,130","238,472","294,723","56,642"
남 60s,201906,"537,403","233,305","141,449","160,080","70,404","78,824","65,027","12,588","657,041","105,486","99,452","125,425","116,174","124,891","183,800","205,386","34,958"
남 70s,201906,"298,716","123,348","71,781","74,526","38,768","38,492","25,669","5,817","321,586","60,035","52,223","72,915","70,076","81,142","102,457","101,054","19,637"
남 80s,201906,"90,571","35,269","23,859","23,269","12,390","13,047","6,386","2,113","109,313","22,041","20,208","32,738","28,165","31,334","40,262","34,769","7,010"
여 20s,201906,"736,579","208,744","150,546","194,363","98,446","100,680","66,459","17,326","830,705","79,390","89,124","111,117","99,005","91,636","129,110","174,005","38,634"
여 30s,201906,"756,628","215,912","150,749","205,253","96,730","98,508","76,843","30,730","938,345","81,977","95,407","131,624","97,625","93,661","146,142","206,102","42,293"
여 40s,201906,"778,435","256,084","199,885","238,368","122,830","121,945","94,410","29,489","1,114,201","110,141","117,047","152,144","132,512","122,827","186,838","262,989","54,001"
여 50s,201906,"773,476","300,253","217,914","255,313","116,646","122,102","102,692","19,451","1,060,475","131,393","132,269","160,647","147,015","147,963","225,248","283,859","51,999"
여 60s,201906,"597,764","256,782","154,999","162,670","77,474","83,039","63,657","12,914","667,701","106,774","99,447","126,838","119,492","124,125","187,370","208,479","35,593"
여 70s,201906,"355,187","151,322","94,668","91,419","49,144","47,028","29,337","7,082","393,356","75,038","65,517","90,989","91,731","109,105","132,830","133,367","24,099"
여 80s,201906,"151,434","66,502","45,694","46,834","23,838","24,317","14,013","4,320","200,018","42,357","40,432","61,618","57,545","70,903","84,565","79,864","14,911"
남 20s,201907,"712,435","230,011","175,805","212,381","108,489","112,441","84,023","17,862","922,457","100,504","110,631","134,541","115,302","111,348","165,540","214,695","43,118"
남 30s,201907,"754,578","224,470","159,125","217,586","98,685","104,192","85,176","29,394","984,761","89,224","105,684","150,513","103,267","103,559","164,496","222,954","43,477"
남 40s,201907,"762,776","257,603","193,544","246,568","120,707","120,657","96,062","31,914","1,146,709","117,560","125,772","173,933","142,218","142,330","203,807","278,560","58,366"
남 50s,201907,"736,692","279,908","208,356","254,743","114,176","119,927","107,435","21,113","1,092,214","137,423","139,399","177,467","155,666","168,041","238,712","295,030","56,716"
남 60s,201907,"537,885","233,629","141,760","160,674","70,590","79,007","65,291","12,696","660,139","105,956","99,745","125,600","116,309","125,108","184,228","206,083","35,123"
남 70s,201907,"300,396","124,045","72,141","75,064","39,110","38,713","25,838","5,860","323,697","60,176","52,476","73,220","70,459","81,476","102,952","101,656","19,733"
남 80s,201907,"91,085","35,445","23,959","23,413","12,450","13,097","6,414","2,122","110,006","22,160","20,296","32,850","28,281","31,486","40,377","34,852","7,041"
여 20s,201907,"737,322","208,413","150,468","194,251","98,723","100,729","66,397","17,428","832,014","79,262","89,111","110,847","98,895","91,528","129,027","173,953","38,649"
여 30s,201907,"754,639","215,165","150,300","204,784","96,482","98,109","76,651","30,922","937,204","81,832","95,049","131,247","97,260","93,251","145,549","205,506","42,248"
여 40s,201907,"777,021","255,663","199,311","238,081","122,668","121,663","94,200","29,825","1,113,891","109,961","116,819","152,105","132,243","122,601","186,321","262,570","53,957"
여 50s,201907,"773,438","300,112","218,161","255,555","116,892","122,157","102,823","19,631","1,063,621","131,499","132,477","160,846","147,014","147,779","225,480","284,171","52,132"
여 60s,201907,"598,188","257,184","155,202","163,200","77,552","83,270","63,900","13,021","670,571","107,133","99,682","126,931","119,468","124,309","187,682","209,065","35,741"
여 70s,201907,"357,245","152,133","95,051","91,948","49,531","47,250","29,523","7,131","395,443","75,199","65,666","91,367","92,204","109,296","133,129","133,838","24,200"
여 80s,201907,"151,977","66,718","45,874","47,042","23,926","24,358","14,023","4,330","200,922","42,506","40,574","61,802","57,751","71,088","84,837","80,021","14,963"
남 20s,201908,"712,221","229,723","175,570","212,271","108,604","112,393","83,805","17,908","923,481","100,386","110,649","134,443","115,156","111,129","165,387","214,390","43,181"
남 30s,201908,"752,143","223,679","158,749","217,029","98,372","103,942","84,935","29,476","984,632","89,083","105,429","150,119","102,802","102,999","163,895","222,297","43,273"
남 40s,201908,"761,150","257,300","193,210","246,377","120,699","120,409","95,955","32,132","1,146,979","117,264","125,677","173,692","141,949","142,084","203,493","278,092","58,378"
남 50s,201908,"736,515","279,462","208,143","254,810","114,155","119,897","107,415","21,257","1,094,488","137,602","139,512","177,678","155,570","168,055","238,754","295,321","56,783"
남 60s,201908,"539,520","234,359","142,350","161,649","71,005","79,368","65,703","12,816","664,951","106,586","100,295","126,204","116,759","125,670","184,976","207,144","35,345"
남 70s,201908,"301,406","124,598","72,484","75,453","39,208","38,908","26,047","5,917","325,358","60,225","52,608","73,496","70,728","81,594","103,199","102,029","19,763"
남 80s,201908,"91,901","35,767","24,150","23,574","12,546","13,195","6,446","2,137","110,758","22,295","20,442","32,946","28,435","31,635","40,616","35,074","7,113"
여 20s,201908,"738,003","208,171","150,226","194,088","98,939","100,633","66,269","17,512","832,901","79,264","89,031","110,782","98,669","91,238","128,890","173,667","38,628"
여 30s,201908,"752,200","214,292","149,698","204,193","96,165","97,769","76,291","30,963","936,133","81,565","94,809","130,716","96,879","92,840","144,876","204,787","42,066"
여 40s,201908,"775,421","255,312","198,871","237,827","122,658","121,388","94,049","30,069","1,114,336","109,708","116,534","152,032","132,043","122,395","186,158","262,174","54,018"
