,CARD_SIDO_NM,STD_CLSS_NM,total_sale_by_indst
150,경북,체인화 편의점,756003.0
151,경북,택시 운송업,504004.1764705874
152,경북,피자 햄버거 샌드위치 및 유사 음식점업,167592.0
153,경북,한식 음식점업,2595718.0
154,경북,호텔업,133695.0
155,경북,화장품 및 방향제 소매업,219494.0
156,경북,휴양콘도 운영업,88886.0
157,광주,건강보조식품 소매업,80508.0
158,광주,골프장 운영업,17846.0
159,광주,과실 및 채소 소매업,95923.0
160,광주,관광 민예품 및 선물용품 소매업,11148.0
161,광주,그외 기타 스포츠시설 운영업,5980.0
162,광주,그외 기타 종합 소매업,48456.0
163,광주,기타 대형 종합 소매업,811808.0
164,광주,기타 수상오락 서비스업,44161911411.40593
165,광주,기타 외국식 음식점업,8210.0
166,광주,기타 주점업,282618.0
167,광주,기타음식료품위주종합소매업,364932.0
168,광주,내항 여객 운송업,18331.529411764794
169,광주,마사지업,16311.0
170,광주,버스 운송업,499493.29411765217
171,광주,비알콜 음료점업,236463.0
172,광주,빵 및 과자류 소매업,13254.0
173,광주,서양식 음식점업,109593.0
174,광주,수산물 소매업,122776.0
175,광주,슈퍼마켓,785673.0
176,광주,스포츠 및 레크레이션 용품 임대업,2366.0
177,광주,여관업,81285.0
178,광주,여행사업,42688.0
179,광주,욕탕업,38776.0
180,광주,육류 소매업,306943.0
181,광주,일반유흥 주점업,71783.0
182,광주,일식 음식점업,68689.0
183,광주,자동차 임대업,57113.0
184,광주,전시 및 행사 대행업,40886.0
185,광주,중식 음식점업,90466.0
186,광주,차량용 가스 충전업,221604.0
187,광주,차량용 주유소 운영업,869482.0
188,광주,체인화 편의점,462909.0
189,광주,택시 운송업,504004.17647058837
190,광주,피자 햄버거 샌드위치 및 유사 음식점업,133849.0
191,광주,한식 음식점업,1383342.0
192,광주,호텔업,36920.0
193,광주,화장품 및 방향제 소매업,219691.0
194,대구,건강보조식품 소매업,70593.0
195,대구,골프장 운영업,7515.0
196,대구,과실 및 채소 소매업,152584.0
197,대구,관광 민예품 및 선물용품 소매업,20300.0
198,대구,그외 기타 스포츠시설 운영업,15476.0
199,대구,그외 기타 종합 소매업,93612.0
200,대구,기타 대형 종합 소매업,1617429.0
201,대구,기타 수상오락 서비스업,679.0
202,대구,기타 외국식 음식점업,19865.0
203,대구,기타 주점업,474842.0
204,대구,기타음식료품위주종합소매업,439846.0
205,대구,마사지업,16341.0
206,대구,면세점,23612323566616.113
207,대구,버스 운송업,499493.2941176473
208,대구,비알콜 음료점업,345165.0
209,대구,빵 및 과자류 소매업,20234.0
210,대구,서양식 음식점업,205786.0
211,대구,수산물 소매업,79519.0
212,대구,슈퍼마켓,1391667.0
213,대구,스포츠 및 레크레이션 용품 임대업,2461.0
214,대구,여관업,105737.0
215,대구,여행사업,78958.0
216,대구,욕탕업,116433.0
217,대구,육류 소매업,411042.0
218,대구,일반유흥 주점업,96000.0
219,대구,일식 음식점업,117854.0
220,대구,자동차 임대업,210540.0
221,대구,전시 및 행사 대행업,76330.0
222,대구,중식 음식점업,165208.0
223,대구,차량용 가스 충전업,247067.0
224,대구,차량용 주유소 운영업,1501123.0
225,대구,체인화 편의점,561929.0
226,대구,택시 운송업,504004.1764705932
227,대구,피자 햄버거 샌드위치 및 유사 음식점업,242153.0
228,대구,한식 음식점업,2061587.0
229,대구,호텔업,144523.0
230,대구,화장품 및 방향제 소매업,447094.0
231,대전,건강보조식품 소매업,106592.0
232,대전,골프장 운영업,16716.0
233,대전,과실 및 채소 소매업,59619.0
