,CARD_SIDO_NM,STD_CLSS_NM,Maechul
165,울산,건강보조식품 소매업,26155
166,울산,차량용 주유소 운영업,903763
167,울산,차량용 가스 충전업,88103
168,울산,화장품 및 방향제 소매업,100476
169,울산,관광 민예품 및 선물용품 소매업,7817
170,울산,호텔업,131102
171,울산,여관업,71322
172,울산,휴양콘도 운영업,...
173,울산,한식 음식점업,1233057
174,울산,중식 음식점업,73043
175,울산,일식 음식점업,45281
176,울산,서양식 음식점업,78195
177,울산,기타 외국식 음식점업,6549
178,울산,피자  햄버거  샌드위치 및 유사 음식점업,103966
179,울산,일반유흥 주점업,98782
180,울산,기타 주점업,190193
181,울산,비알콜 음료점업,140811
182,세종,기타 대형 종합 소매업,150185
183,세종,슈퍼마켓,127819
184,세종,체인화 편의점,88741
185,세종,기타 음·식료품 위주 종합 소매업,41179
186,세종,그외 기타 종합 소매업,3104
187,세종,육류 소매업,37043
188,세종,수산물 소매업,4456
189,세종,과실 및 채소 소매업,5857
190,세종,빵 및 과자류 소매업,595
191,세종,건강보조식품 소매업,2194
192,세종,차량용 주유소 운영업,181743
193,세종,차량용 가스 충전업,13374
194,세종,화장품 및 방향제 소매업,18166
195,세종,관광 민예품 및 선물용품 소매업,209
196,세종,호텔업,-
197,세종,여관업,6022
198,세종,휴양콘도 운영업,...
199,세종,한식 음식점업,243892
200,세종,중식 음식점업,23893
201,세종,일식 음식점업,9324
202,세종,서양식 음식점업,12224
203,세종,기타 외국식 음식점업,4213
204,세종,피자  햄버거  샌드위치 및 유사 음식점업,17165
205,세종,일반유흥 주점업,4328
206,세종,기타 주점업,17844
207,세종,비알콜 음료점업,38179
208,경기,기타 대형 종합 소매업,10127428
209,경기,슈퍼마켓,8934575
210,경기,체인화 편의점,4849639
211,경기,기타 음·식료품 위주 종합 소매업,2420980
212,경기,그외 기타 종합 소매업,778192
213,경기,육류 소매업,1966747
214,경기,수산물 소매업,418383
215,경기,과실 및 채소 소매업,589820
216,경기,빵 및 과자류 소매업,135630
217,경기,건강보조식품 소매업,413505
218,경기,차량용 주유소 운영업,9891577
219,경기,차량용 가스 충전업,1645934
220,경기,화장품 및 방향제 소매업,1825913
221,경기,관광 민예품 및 선물용품 소매업,75548
222,경기,호텔업,320024
223,경기,여관업,596569
224,경기,휴양콘도 운영업,447599
225,경기,한식 음식점업,13506239
226,경기,중식 음식점업,1075824
227,경기,일식 음식점업,720632
228,경기,서양식 음식점업,934981
229,경기,기타 외국식 음식점업,154317
230,경기,피자  햄버거  샌드위치 및 유사 음식점업,1206847
231,경기,일반유흥 주점업,514249
232,경기,기타 주점업,1691236
233,경기,비알콜 음료점업,1687006
234,강원,기타 대형 종합 소매업,681168
235,강원,슈퍼마켓,1619140
236,강원,체인화 편의점,693874
237,강원,기타 음·식료품 위주 종합 소매업,391274
238,강원,그외 기타 종합 소매업,92888
239,강원,육류 소매업,334864
240,강원,수산물 소매업,188371
241,강원,과실 및 채소 소매업,115834
242,강원,빵 및 과자류 소매업,12951
243,강원,건강보조식품 소매업,33849
244,강원,차량용 주유소 운영업,1483206
245,강원,차량용 가스 충전업,170552
246,강원,화장품 및 방향제 소매업,135940
247,강원,관광 민예품 및 선물용품 소매업,12359
248,강원,호텔업,102990
249,강원,여관업,154809
250,강원,휴양콘도 운영업,1004951
251,강원,한식 음식점업,2068081
252,강원,중식 음식점업,113233
253,강원,일식 음식점업,52595
254,강원,서양식 음식점업,86903
255,강원,기타 외국식 음식점업,2664
256,강원,피자  햄버거  샌드위치 및 유사 음식점업,119406
257,강원,일반유흥 주점업,108588
258,강원,기타 주점업,221989
259,강원,비알콜 음료점업,204492
260,충북,기타 대형 종합 소매업,691648
261,충북,슈퍼마켓,1318530
262,충북,체인화 편의점,504492
263,충북,기타 음·식료품 위주 종합 소매업,369933
264,충북,그외 기타 종합 소매업,82162
265,충북,육류 소매업,316192
266,충북,수산물 소매업,44174
267,충북,과실 및 채소 소매업,75620
268,충북,빵 및 과자류 소매업,9330
269,충북,건강보조식품 소매업,61670
270,충북,차량용 주유소 운영업,1880204
271,충북,차량용 가스 충전업,210636
272,충북,화장품 및 방향제 소매업,147720
273,충북,관광 민예품 및 선물용품 소매업,8261
274,충북,호텔업,43652
275,충북,여관업,90600
276,충북,휴양콘도 운영업,50447
277,충북,한식 음식점업,1702269
278,충북,중식 음식점업,118875
279,충북,일식 음식점업,48317
280,충북,서양식 음식점업,63856
281,충북,기타 외국식 음식점업,8263
282,충북,피자  햄버거  샌드위치 및 유사 음식점업,115257
283,충북,일반유흥 주점업,64376
284,충북,기타 주점업,197422
285,충북,비알콜 음료점업,142341
286,충남,기타 대형 종합 소매업,1144899
287,충남,슈퍼마켓,1900207
288,충남,체인화 편의점,879656
289,충남,기타 음·식료품 위주 종합 소매업,512435
290,충남,그외 기타 종합 소매업,105774
291,충남,육류 소매업,376837
292,충남,수산물 소매업,294027
293,충남,과실 및 채소 소매업,184257
294,충남,빵 및 과자류 소매업,18043
295,충남,건강보조식품 소매업,68961
296,충남,차량용 주유소 운영업,2302910
297,충남,차량용 가스 충전업,216203
298,충남,화장품 및 방향제 소매업,133577
299,충남,관광 민예품 및 선물용품 소매업,14333
300,충남,호텔업,38025
301,충남,여관업,159627
302,충남,휴양콘도 운영업,113340
303,충남,한식 음식점업,2383540
304,충남,중식 음식점업,174750
305,충남,일식 음식점업,56823
306,충남,서양식 음식점업,86565
307,충남,기타 외국식 음식점업,15582
308,충남,피자  햄버거  샌드위치 및 유사 음식점업,160720
309,충남,일반유흥 주점업,90641
310,충남,기타 주점업,241942
311,충남,비알콜 음료점업,208566
312,전북,기타 대형 종합 소매업,916421
313,전북,슈퍼마켓,1049107
314,전북,체인화 편의점,490439
315,전북,기타 음·식료품 위주 종합 소매업,541017
316,전북,그외 기타 종합 소매업,85349
317,전북,육류 소매업,395525
318,전북,수산물 소매업,195500
319,전북,과실 및 채소 소매업,199694
320,전북,빵 및 과자류 소매업,19473
321,전북,건강보조식품 소매업,66719
322,전북,차량용 주유소 운영업,1830482
323,전북,차량용 가스 충전업,227268
324,전북,화장품 및 방향제 소매업,187239
325,전북,관광 민예품 및 선물용품 소매업,23328
326,전북,호텔업,24120
327,전북,여관업,102257
328,전북,휴양콘도 운영업,80355
329,전북,한식 음식점업,1734559
330,전북,중식 음식점업,126038
331,전북,일식 음식점업,55640
332,전북,서양식 음식점업,97719
333,전북,기타 외국식 음식점업,6859
334,전북,피자  햄버거  샌드위치 및 유사 음식점업,124441
335,전북,일반유흥 주점업,71557
336,전북,기타 주점업,215135
337,전북,비알콜 음료점업,186403
338,전남,기타 대형 종합 소매업,707575
339,전남,슈퍼마켓,1340453
340,전남,체인화 편의점,465648
341,전남,기타 음·식료품 위주 종합 소매업,514314
342,전남,그외 기타 종합 소매업,60192
343,전남,육류 소매업,367492
344,전남,수산물 소매업,436987
345,전남,과실 및 채소 소매업,203191
346,전남,빵 및 과자류 소매업,7919
347,전남,건강보조식품 소매업,44673
348,전남,차량용 주유소 운영업,1881854
349,전남,차량용 가스 충전업,216860
350,전남,화장품 및 방향제 소매업,93186
351,전남,관광 민예품 및 선물용품 소매업,8074
352,전남,호텔업,121170
353,전남,여관업,137793
354,전남,휴양콘도 운영업,94722
355,전남,한식 음식점업,1834576
356,전남,중식 음식점업,87759
357,전남,일식 음식점업,35529
358,전남,서양식 음식점업,73176
359,전남,기타 외국식 음식점업,3460
360,전남,피자  햄버거  샌드위치 및 유사 음식점업,84997
361,전남,일반유흥 주점업,119011
362,전남,기타 주점업,248646
363,전남,비알콜 음료점업,180661
364,경북,기타 대형 종합 소매업,1148101
365,경북,슈퍼마켓,2234228
366,경북,체인화 편의점,756003
367,경북,기타 음·식료품 위주 종합 소매업,642262
368,경북,그외 기타 종합 소매업,74510
369,경북,육류 소매업,612592
370,경북,수산물 소매업,246453
371,경북,과실 및 채소 소매업,219830
372,경북,빵 및 과자류 소매업,23959
373,경북,건강보조식품 소매업,43912
374,경북,차량용 주유소 운영업,3240792
375,경북,차량용 가스 충전업,374976
376,경북,화장품 및 방향제 소매업,219494
377,경북,관광 민예품 및 선물용품 소매업,12573
378,경북,호텔업,133695
379,경북,여관업,161103
380,경북,휴양콘도 운영업,88886
381,경북,한식 음식점업,2595718
382,경북,중식 음식점업,160509
383,경북,일식 음식점업,49698
384,경북,서양식 음식점업,86311
385,경북,기타 외국식 음식점업,6059
386,경북,피자  햄버거  샌드위치 및 유사 음식점업,167592
387,경북,일반유흥 주점업,134360
388,경북,기타 주점업,306064
389,경북,비알콜 음료점업,267899
390,경남,기타 대형 종합 소매업,1796280
391,경남,슈퍼마켓,3079161
392,경남,체인화 편의점,1142926
393,경남,기타 음·식료품 위주 종합 소매업,655465
394,경남,그외 기타 종합 소매업,269909
395,경남,육류 소매업,391697
396,경남,수산물 소매업,253116
397,경남,과실 및 채소 소매업,250442
398,경남,빵 및 과자류 소매업,25190
399,경남,건강보조식품 소매업,89203
400,경남,차량용 주유소 운영업,3062450
401,경남,차량용 가스 충전업,298358
402,경남,화장품 및 방향제 소매업,350272
403,경남,관광 민예품 및 선물용품 소매업,18708
404,경남,호텔업,89377
405,경남,여관업,211560
406,경남,휴양콘도 운영업,104117
407,경남,한식 음식점업,3503501
408,경남,중식 음식점업,194525
409,경남,일식 음식점업,111420
410,경남,서양식 음식점업,177396
411,경남,기타 외국식 음식점업,17755
412,경남,피자  햄버거  샌드위치 및 유사 음식점업,304421
413,경남,일반유흥 주점업,303699
414,경남,기타 주점업,412251
415,경남,비알콜 음료점업,311771
416,제주,기타 대형 종합 소매업,1144182
417,제주,슈퍼마켓,761345
418,제주,체인화 편의점,448329
419,제주,기타 음·식료품 위주 종합 소매업,134820
420,제주,그외 기타 종합 소매업,272833
421,제주,육류 소매업,111794
422,제주,수산물 소매업,162613
423,제주,과실 및 채소 소매업,162776
424,제주,빵 및 과자류 소매업,8473
425,제주,건강보조식품 소매업,54280
426,제주,차량용 주유소 운영업,601042
427,제주,차량용 가스 충전업,175179
428,제주,화장품 및 방향제 소매업,148361
429,제주,관광 민예품 및 선물용품 소매업,119722
430,제주,호텔업,809678
