iter	Passed	Remaining
323	21000	56778
324	21046	56663
325	21122	56629
326	21181	56549
327	21201	56364
328	21221	56181
329	21240	55998
330	21291	55897
331	21363	55855
332	21431	55799
333	21574	55938
334	21610	55800
335	21649	55669
336	21676	55508
337	21706	55357
338	21726	55182
339	21749	55012
340	21772	54846
341	21794	54677
342	21837	54561
343	21920	54547
344	22059	54669
345	22263	54949
346	22316	54859
347	22336	54686
348	22363	54530
349	22381	54356
350	22421	54234
351	22498	54200
352	22546	54098
353	22586	53977
354	22645	53903
355	22671	53748
356	22700	53602
357	22752	53512
358	22842	53511
359	22863	53348
360	22909	53242
361	22955	53140
362	22992	53015
363	23027	52887
364	23058	52749
365	23093	52622
366	23159	52565
367	23199	52451
368	23298	52467
369	23563	52859
370	23663	52876
371	23734	52828
372	23814	52800
373	23851	52676
374	23881	52538
375	23903	52383
376	23922	52224
377	23951	52086
378	23981	51949
379	24021	51836
380	24114	51836
381	24155	51724
382	24179	51579
383	24212	51451
384	24269	51376
385	24345	51339
386	24375	51207
387	24398	51060
388	24435	50943
389	24468	50818
390	24538	50770
391	24605	50717
392	24650	50617
393	24788	50708
394	25011	50972
395	25104	50969
396	25172	50916
397	25238	50856
398	25315	50821
399	25389	50778
400	25460	50730
401	25493	50606
402	25573	50576
403	25613	50465
404	25662	50374
405	25746	50351
406	25767	50205
407	25789	50061
408	25853	50000
409	25911	49926
410	26003	49918
411	26032	49790
412	26121	49776
413	26213	49768
414	26332	49809
415	26433	49816
416	26542	49839
417	26606	49775
418	26649	49674
419	26669	49529
420	26698	49400
421	26728	49276
422	26762	49159
423	26852	49144
424	26917	49084
425	26981	49022
426	27027	48928
427	27066	48820
428	27107	48716
429	27180	48671
430	27222	48571
431	27293	48521
432	27375	48491
433	27452	48452
434	27538	48429
435	27611	48383
436	27739	48433
437	27888	48517
438	27941	48436
439	27981	48331
440	28041	48261
441	28060	48121
442	28080	47984
443	28131	47899
444	28202	47849
445	28244	47749
446	28306	47683
447	28393	47660
448	28438	47566
449	28478	47463
450	28529	47380
451	28567	47275
452	28627	47207
453	28672	47113
454	28739	47056
455	28831	47041
456	28934	47042
457	29005	46991
458	29066	46924
459	29214	46996
460	29307	46980
461	29376	46925
462	29475	46918
463	29581	46922
464	29672	46901
465	29710	46797
466	29745	46688
467	29775	46572
468	29817	46475
469	29866	46388
470	29911	46295
471	29940	46178
472	29963	46053
473	30016	45975
474	30051	45867
475	30080	45752
476	30109	45637
477	30136	45519
478	30166	45407
479	30234	45351
480	30307	45304
481	30420	45315
482	30515	45300
483	30591	45255
484	30666	45209
485	30735	45154
486	30824	45129
487	30899	45083
488	31000	45074
489	31044	44983
490	31117	44933
491	31163	44844
492	31223	44776
493	31307	44743
494	31399	44720
495	31480	44681
496	31621	44727
497	31672	44647
498	31806	44682
499	31969	44757
500	32132	44832
501	32214	44791
502	32277	44726
503	32340	44660
504	32406	44598
505	32478	44545
506	32517	44446
507	32575	44374
508	32613	44274
509	32685	44221
510	32714	44110
511	32735	43988
512	32774	43891
513	32810	43790
514	32868	43717
515	32911	43626
516	32974	43561
517	33084	43558
518	33144	43490
519	33234	43460
520	33372	43493
521	33548	43575
522	33642	43548
523	33704	43480
524	33734	43372
525	33815	43330
526	33852	43231
527	33890	43133
528	33969	43087
529	34013	42998
530	34037	42883
531	34095	42811
532	34132	42713
533	34170	42617
534	34243	42564
535	34320	42516
536	34381	42448
537	34438	42375
538	34485	42291
539	34523	42195
540	34577	42118
541	34674	42095
542	34738	42031
543	34807	41973
544	34997	42061
545	35080	42019
546	35120	41926
547	35148	41819
548	35180	41716
549	35242	41649
550	35325	41608
551	35376	41529
552	35447	41472
553	35504	41400
554	35572	41341
555	35617	41254
556	35678	41187
557	35777	41163
558	35860	41120
559	35951	41087
560	36047	41058
561	36203	41099
562	36375	41156
563	36465	41121
564	36574	41105
565	36624	41025
566	36719	40994
567	36819	40968
568	36865	40882
569	36960	40851
570	36990	40748
571	37019	40643
572	37068	40561
573	37112	40475
574	37174	40407
575	37212	40313
576	37268	40239
577	37361	40205
578	37418	40133
579	37471	40055
580	37515	39969
581	37585	39910
582	37709	39908
583	37887	39964
584	37989	39938
585	38051	39869
586	38117	39805
587	38155	39712
588	38213	39640
589	38237	39533
590	38257	39422
591	38311	39346
592	38363	39268
593	38444	39221
594	38520	39167
595	38549	39066
596	38612	39000
597	38664	38923
598	38752	38882
599	38782	38782
600	38840	38711
601	38980	38721
602	39091	38702
603	39267	38747
604	39369	38718
605	39394	38614
606	39426	38517
607	39447	38409
608	39468	38301
609	39496	38201
610	39531	38107
611	39594	38042
612	39688	38005
613	39810	37994
614	39888	37943
615	39981	37904
616	40041	37835
617	40121	37784
618	40201	37733
619	40265	37668
620	40396	37664
621	40550	37682
622	40683	37679
623	40814	37674
624	40859	37590
625	40923	37524
626	40968	37440
627	40995	37339
628	41030	37246
629	41091	37178
630	41156	37112
631	41189	37018
632	41216	36919
633	41261	36835
634	41320	36765
635	41350	36669
636	41373	36567
637	41395	36464
638	41417	36362
639	41485	36299
640	41531	36218
641	41561	36123
642	41588	36026
643	41609	35923
644	41631	35822
645	41653	35721
646	41676	35621
647	41752	35566
648	41798	35487
649	41873	35431
650	41914	35347
651	41969	35275
652	42022	35201
653	42149	35189
654	42224	35133
655	42270	35053
656	42307	34966
657	42325	34864
658	42379	34790
659	42421	34708
660	42457	34620
661	42542	34573
662	42621	34521
663	42673	34446
664	42716	34365
665	42779	34300
666	42801	34202
667	42821	34103
668	42882	34036
669	42955	33979
670	43016	33912
671	43101	33865
672	43162	33798
673	43191	33707
674	43383	33742
675	43543	33752
676	43653	33723
677	43725	33664
678	43846	33643
679	43943	33604
680	44009	33540
681	44040	33450
682	44104	33385
683	44189	33336
684	44286	33295
685	44400	33268
686	44521	33245
687	44565	33165
688	44628	33099
689	44737	33066
690	44888	33065
691	44979	33019
692	45076	32978
693	45133	32907
694	45225	32861
695	45271	32782
696	45303	32694
697	45336	32606
698	45403	32542
699	45482	32487
700	45532	32411
701	45611	32356
702	45651	32274
703	45704	32201
704	45742	32117
705	45787	32038
706	45839	31964
707	45881	31883
708	45926	31805
709	46045	31777
710	46150	31740
711	46267	31711
712	46332	31646
713	46396	31580
714	46456	31512
715	46501	31433
716	46527	31342
717	46589	31276
718	46663	31217
719	46766	31177
720	46833	31114
721	46871	31031
722	47006	31012
723	47091	30960
724	47142	30886
725	47195	30813
726	47343	30802
727	47523	30812
728	47623	30769
729	47675	30695
730	47767	30646
731	47856	30597
732	47951	30550
733	48030	30493
734	48073	30413
735	48108	30329
736	48166	30259
737	48224	30189
738	48300	30130
739	48373	30070
740	48418	29992
741	48477	29922
742	48569	29873
743	48649	29817
744	48759	29779
745	48823	29713
746	48988	29707
747	49065	29648
748	49136	29586
749	49201	29520
750	49258	29450
751	49333	29390
752	49431	29343
753	49481	29268
754	49522	29188
755	49581	29119
756	49669	29067
757	49710	28987
758	49764	28914
759	49832	28850
760	49874	28771
761	49922	28695
762	50040	28659
763	50147	28618
764	50233	28564
765	50329	28515
766	50399	28452
767	50467	28387
768	50488	28296
769	50524	28215
770	50606	28158
771	50656	28083
772	50679	27995
773	50701	27905
774	50774	27844
775	50830	27773
776	50882	27700
777	50956	27639
778	50979	27551
779	51008	27466
780	51084	27406
781	51120	27325
782	51189	27261
783	51237	27187
784	51284	27112
785	51358	27051
786	51471	27011
787	51707	27034
788	51774	26969
789	51804	26885
790	51833	26801
791	51860	26715
792	51879	26626
793	51898	26537
794	51954	26467
795	51992	26388
796	52074	26331
797	52133	26262
798	52158	26177
799	52176	26088
800	52197	26000
801	52224	25916
802	52251	25832
803	52271	25745
804	52309	25667
805	52352	25591
806	52394	25515
807	52449	25445
808	52478	25363
809	52500	25277
810	52555	25208
811	52647	25156
812	52719	25095
813	52784	25030
814	52839	24961
815	52892	24890
816	52993	24842
817	53101	24797
818	53214	24755
819	53281	24691
820	53340	24623
821	53375	24544
822	53411	24466
823	53513	24418
824	53556	24343
825	53583	24261
826	53613	24181
827	53654	24105
828	53691	24028
829	53741	23956
830	53775	23878
831	53809	23800
832	53851	23725
833	53926	23665
834	53977	23595
835	54047	23532
836	54073	23451
837	54109	23374
838	54170	23307
839	54227	23240
840	54266	23164
841	54415	23136
842	54533	23094
843	54598	23029
844	54622	22947
845	54641	22864
846	54660	22780
847	54678	22696
848	54731	22627
849	54786	22559
850	54853	22495
851	54874	22413
852	54897	22332
853	54917	22250
854	55002	22193
855	55080	22135
856	55115	22059
857	55155	21985
858	55221	21921
859	55293	21860
860	55339	21788
861	55359	21707
862	55379	21625
863	55412	21549
864	55440	21470
865	55473	21395
866	55492	21313
867	55520	21235
868	55542	21155
869	55574	21080
870	55644	21018
871	55795	20987
872	55891	20935
873	55926	20860
874	55946	20780
875	55964	20699
876	55983	20618
877	56016	20543
878	56095	20485
879	56134	20412
880	56163	20336
881	56186	20257
882	56219	20182
883	56279	20117
884	56313	20043
885	56350	19970
886	56414	19907
887	56448	19833
888	56489	19761
889	56532	19691
890	56582	19622
891	56626	19552
892	56701	19492
893	56813	19446
894	56837	19369
895	56862	19292
896	56922	19227
897	57027	19178
898	57137	19130
899	57216	19072
900	57342	19029
901	57387	18959
902	57406	18881
903	57424	18802
904	57445	18725
905	57466	18648
906	57501	18575
907	57580	18517
908	57628	18448
909	57652	18372
910	57685	18299
911	57719	18227
912	57750	18153
913	57779	18079
914	57830	18012
915	57867	17941
916	57920	17875
917	57952	17802
918	57976	17727
919	58014	17656
920	58049	17585
921	58117	17523
922	58144	17449
923	58174	17376
924	58202	17303
925	58233	17231
926	58283	17164
927	58331	17097
928	58375	17028
929	58421	16961
930	58507	16904
931	58687	16875
932	58778	16820
933	58835	16756
934	58880	16688
935	58913	16616
936	58979	16554
937	59055	16495
938	59096	16426
939	59166	16365
940	59206	16295
941	59268	16232
942	59347	16174
943	59397	16107
944	59448	16041
945	59491	15973
946	59570	15914
947	59617	15847
948	59709	15792
949	59892	15761
950	60036	15719
951	60097	15655
952	60202	15603
953	60303	15549
954	60352	15483
955	60406	15417
956	60445	15348
957	60463	15273
958	60482	15199
959	60543	15135
960	60603	15071
961	60675	15011
962	60713	14942
963	60778	14879
964	60811	14809
965	60839	14737
966	60866	14665
967	60919	14600
968	60994	14540
969	61022	14469
970	61058	14400
971	61161	14346
972	61257	14291
973	61341	14233
974	61445	14179
975	61583	14133
976	61659	14073
977	61708	14007
978	61744	13938
979	61808	13875
980	61854	13808
981	61923	13746
982	61962	13678
983	62052	13621
984	62092	13553
985	62124	13483
986	62148	13412
987	62192	13344
988	62270	13285
989	62338	13223
990	62410	13162
991	62501	13105
992	62683	13066
993	62794	13013
994	62992	12978
995	63169	12938
996	63296	12887
997	63376	12827
998	63445	12765
999	63481	12696
1000	63557	12635
1001	63643	12576
1002	63713	12513
1003	63806	12456
1004	63904	12399
1005	63982	12338
1006	64069	12279
1007	64177	12224
1008	64284	12168
1009	64404	12115
1010	64622	12080
1011	64787	12035
1012	64865	11974
1013	64911	11906
1014	64951	11838
1015	65028	11776
1016	65110	11716
1017	65222	11660
1018	65262	11592
1019	65299	11523
1020	65336	11454
1021	65364	11384
1022	65403	11316
1023	65437	11247
1024	65522	11186
1025	65568	11119
1026	65624	11054
1027	65671	10987
1028	65720	10921
1029	65769	10855
1030	66033	10824
1031	66150	10768
1032	66263	10712
1033	66304	10644
1034	66362	10579
1035	66410	10512
1036	66468	10447
1037	66559	10387
1038	66660	10329
1039	66716	10264
1040	66796	10202
1041	66829	10133
1042	66902	10070
1043	66947	10003
1044	67040	9943
1045	67108	9880
1046	67204	9820
1047	67316	9763
1048	67467	9711
1049	67576	9653
1050	67639	9589
1051	67714	9526
1052	67733	9455
1053	67760	9386
1054	67797	9318
1055	67868	9254
1056	67925	9189
1057	67957	9120
1058	67985	9051
1059	68031	8985
1060	68091	8920
1061	68143	8854
1062	68203	8790
1063	68248	8723
1064	68290	8656
1065	68335	8589
1066	68435	8530
1067	68490	8465
1068	68543	8399
1069	68609	8335
1070	68647	8268
1071	68726	8206
1072	68791	8142
1073	68885	8081
1074	68955	8018
1075	69013	7953
1076	69071	7888
1077	69098	7820
1078	69116	7750
1079	69177	7686
1080	69202	7618
1081	69269	7554
1082	69327	7489
1083	69355	7421
1084	69393	7355
1085	69416	7286
1086	69439	7218
1087	69462	7150
1088	69541	7088
1089	69631	7027
1090	69684	6962
1091	69718	6895
1092	69786	6831
1093	69818	6764
1094	69838	6696
1095	69898	6632
1096	69960	6568
1097	70024	6505
1098	70101	6442
1099	70129	6375
1100	70199	6312
1101	70240	6246
1102	70304	6182
1103	70350	6117
1104	70423	6054
1105	70509	5992
1106	70601	5931
1107	70638	5865
1108	70730	5803
1109	70826	5742
1110	70902	5679
1111	70983	5617
1112	71085	5556
1113	71160	5493
1114	71201	5427
1115	71238	5362
1116	71280	5296
1117	71365	5234
1118	71448	5171
1119	71519	5108
1120	71593	5045
1121	71628	4979
1122	71655	4913
1123	71676	4846
1124	71697	4779
1125	71726	4713
1126	71754	4647
1127	71825	4584
1128	71847	4518
1129	71868	4452
1130	71903	4386
1131	71961	4322
1132	71988	4257
1133	72022	4191
1134	72064	4127
1135	72161	4065
1136	72229	4002
1137	72297	3938
1138	72359	3875
1139	72413	3811
1140	72512	3749
1141	72610	3687
1142	72702	3625
1143	72774	3562
1144	72847	3499
1145	72870	3433
1146	72888	3368
1147	72907	3302
1148	72927	3237
1149	72977	3172
1150	73051	3109
1151	73086	3045
1152	73158	2982
1153	73248	2919
1154	73338	2857
1155	73384	2793
1156	73427	2728
1157	73518	2666
1158	73562	2602
1159	73595	2537
1160	73644	2473
1161	73706	2410
1162	73756	2346
1163	73875	2284
1164	73915	2220
1165	74011	2158
1166	74057	2094
1167	74169	2032
1168	74240	1968
1169	74321	1905
1170	74385	1842
1171	74474	1779
1172	74556	1716
1173	74595	1652
1174	74670	1588
1175	74743	1525
1176	74788	1461
1177	74820	1397
1178	74915	1334
1179	74977	1270
1180	75029	1207
1181	75069	1143
1182	75148	1079
1183	75254	1016
1184	75430	954
1185	75572	892
1186	75645	828
1187	75680	764
1188	75701	700
1189	75730	636
1190	75766	572
1191	75815	508
1192	75859	445
1193	75906	381
1194	75942	317
1195	76028	254
1196	76092	190
1197	76173	127
1198	76217	63
1199	76244	0
